student_id,age,gender,socioeconomic_status,parental_education_level,family_background,first_generation_student,gpa,previous_academic_performance,subject_failure_count,credits_completed,course_load,scholarship_status,attendance_rate,class_participation_score,assignment_submission_rate,quiz_completion_rate,time_spent_on_learning_platform,login_frequency,engagement_score,learning_style,motivation_level,peer_interaction_score,counseling_sessions_attended,stress_level,dropout_status
S0073,24,Male,Low,Postgraduate,Nuclear,No,3.96,Low,3,57,4,No,85,0,90,28,2.0,15,3,Auditory,4,8,2,High,0
S0074,21,Male,Medium,Primary,Joint,Yes,3.58,Medium,3,99,7,Yes,95,9,97,50,17.1,28,7,Mixed,1,2,0,Low,0
S0075,21,Female,Medium,Graduate,Nuclear,No,3.54,High,4,73,5,Yes,94,2,65,64,4.4,24,5,Auditory,3,10,0,High,0
S0076,25,Male,Medium,Secondary,Nuclear,Yes,1.52,Medium,5,28,4,Yes,74,0,32,82,8.9,27,6,Kinesthetic,5,4,4,High,1
S0077,23,Male,Low,Secondary,Single Parent,Yes,2.21,Medium,1,60,6,Yes,40,3,68,39,4.7,26,10,Mixed,2,3,4,Medium,0
S0078,19,Male,Medium,Primary,Nuclear,No,3.37,Medium,0,117,5,Yes,96,2,30,29,1.0,7,7,Mixed,4,5,3,Medium,0
S0079,24,Female,Low,None,Nuclear,No,2.05,High,3,97,4,No,97,1,54,66,13.8,3,6,Mixed,3,1,2,Medium,0
S0080,19,Male,Low,Secondary,Nuclear,No,2.48,Medium,1,99,3,Yes,87,0,50,98,11.8,3,10,Visual,1,3,0,Medium,0
S0081,24,Other,Low,Secondary,Joint,No,2.08,Low,4,106,7,Yes,82,8,75,30,5.1,9,7,Visual,5,4,5,Medium,0
S0082,19,Male,High,Secondary,Nuclear,Yes,2.53,Medium,0,117,6,No,92,10,33,58,11.0,5,4,Visual,4,0,2,Medium,0
S0083,22,Male,Low,None,Joint,No,1.95,Low,1,83,6,No,83,5,59,77,11.2,10,1,Visual,3,1,0,Medium,1
S0084,23,Female,Low,Secondary,Guardian,No,2.8,Low,1,53,4,No,56,3,34,45,5.4,21,10,Kinesthetic,1,8,4,Low,0
S0085,18,Male,Low,Graduate,Nuclear,No,2.13,Medium,4,62,6,No,43,0,76,89,9.1,19,5,Visual,4,10,1,Medium,0
S0086,17,Male,Low,Postgraduate,Nuclear,No,2.55,Medium,1,98,4,Yes,45,7,54,89,6.4,28,2,Kinesthetic,5,4,2,Low,1
S0087,17,Male,Medium,Secondary,Nuclear,No,2.23,Medium,5,112,3,Yes,77,1,45,33,1.3,24,6,Auditory,4,8,0,High,0
S0088,24,Female,High,None,Joint,No,2.19,Low,4,21,3,Yes,83,0,75,51,16.7,20,9,Visual,2,3,5,High,0
S0089,21,Female,Medium,Secondary,Nuclear,Yes,3.7,Medium,0,67,5,No,61,10,68,90,6.8,7,5,Visual,2,8,4,High,0
S0090,23,Male,Medium,Secondary,Single Parent,No,3.53,Medium,1,79,3,No,70,0,80,99,11.1,21,10,Auditory,4,7,0,High,0
S0091,25,Male,Medium,Secondary,Guardian,No,1.72,Medium,3,34,5,Yes,73,3,89,65,17.2,12,10,Kinesthetic,5,10,4,Medium,0
S0092,22,Male,Medium,Primary,Single Parent,Yes,1.67,Medium,1,83,4,No,85,10,69,94,4.3,9,10,Kinesthetic,3,9,1,Low,0
S0093,23,Male,Medium,Secondary,Single Parent,Yes,1.72,High,0,59,7,Yes,73,3,48,74,16.7,22,2,Kinesthetic,4,5,2,Low,1
S0094,19,Male,Low,None,Nuclear,Yes,1.62,Medium,5,113,7,Yes,95,6,55,61,17.9,5,2,Mixed,1,10,3,High,1
S0095,25,Male,High,Secondary,Joint,No,3.21,High,4,55,5,No,60,9,45,86,10.5,6,4,Kinesthetic,1,3,1,Medium,0
S0096,20,Female,High,None,Nuclear,No,2.78,High,1,63,7,No,79,8,68,95,4.2,4,2,Mixed,4,6,3,Medium,0
S0097,18,Male,Medium,None,Nuclear,Yes,1.63,Low,4,71,6,Yes,76,3,87,60,3.6,2,7,Visual,4,10,4,Medium,0
S0098,19,Female,High,Primary,Guardian,No,3.6,High,4,61,6,No,79,4,41,81,16.3,3,2,Visual,3,7,5,Medium,0
S0099,22,Female,Low,Postgraduate,Joint,No,3.44,Low,2,56,4,No,81,7,38,53,16.0,15,7,Auditory,5,0,4,Medium,0
S0100,19,Male,Medium,Postgraduate,Nuclear,Yes,1.93,Medium,1,46,3,No,50,6,82,88,18.2,10,3,Mixed,3,6,1,Low,1
S0101,17,Female,Medium,Secondary,Joint,No,4.0,Medium,3,98,5,No,66,8,75,92,15.3,22,5,Visual,3,9,2,High,0
S0102,23,Male,High,Graduate,Guardian,No,3.42,Low,5,28,5,No,89,10,86,52,3.5,28,4,Kinesthetic,3,9,2,Low,0
S0103,20,Female,Low,Primary,Nuclear,No,3.45,Low,2,54,7,No,66,4,37,87,19.9,12,4,Visual,4,9,4,Medium,0
S0104,19,Male,Medium,Postgraduate,Joint,No,2.59,High,3,103,4,No,50,6,60,87,4.5,5,2,Auditory,2,3,3,High,1
S0105,23,Male,High,Graduate,Nuclear,Yes,2.52,Low,1,62,5,No,78,6,44,33,18.6,29,7,Visual,4,5,1,Low,0
S0106,25,Male,Low,Postgraduate,Joint,No,2.38,High,0,88,5,No,81,2,77,70,9.8,29,2,Kinesthetic,4,2,1,Low,0
S0107,19,Female,Medium,Graduate,Joint,No,2.09,Low,4,102,7,No,81,4,46,70,13.8,9,10,Mixed,1,1,4,Medium,0
S0108,17,Female,Medium,Secondary,Nuclear,No,1.83,Medium,3,49,6,No,42,5,65,72,14.3,3,5,Kinesthetic,5,10,4,Low,1
S0109,17,Female,Medium,None,Nuclear,No,3.28,High,3,97,3,No,70,9,71,87,16.1,1,1,Visual,5,5,2,High,0
S0110,19,Male,Medium,Secondary,Nuclear,Yes,2.36,Medium,2,36,6,Yes,48,0,72,77,3.2,11,1,Kinesthetic,4,5,2,High,1
S0111,25,Male,High,Graduate,Single Parent,No,1.61,High,4,66,3,No,67,5,98,69,6.7,7,7,Auditory,5,6,3,Medium,0
S0112,20,Male,Low,Secondary,Nuclear,No,1.51,Low,4,44,7,No,99,2,50,100,11.4,6,1,Auditory,2,8,4,High,1
S0113,22,Male,Low,Primary,Nuclear,Yes,2.82,High,5,74,5,Yes,82,3,76,92,13.8,4,10,Visual,4,7,5,Medium,0
S0114,17,Female,Low,None,Single Parent,No,3.53,Low,1,109,7,No,46,7,70,67,8.5,8,1,Visual,5,9,4,Medium,1
S0115,18,Female,Medium,Primary,Nuclear,No,2.76,Medium,3,48,7,No,41,2,93,80,12.0,1,8,Kinesthetic,3,7,3,Medium,0
S0116,22,Female,Low,Primary,Joint,No,3.39,High,0,35,7,No,52,7,51,81,3.9,23,7,Auditory,2,0,4,High,1
S0117,18,Male,Medium,Graduate,Joint,No,3.43,Medium,2,54,7,No,55,9,36,97,6.5,22,9,Visual,3,7,1,Low,0
S0118,19,Female,Low,Graduate,Nuclear,No,2.16,Medium,1,95,7,No,68,6,88,55,17.5,26,9,Kinesthetic,1,1,0,Low,0
S0119,20,Male,Low,Secondary,Single Parent,No,2.47,High,5,65,4,Yes,86,3,65,33,4.4,11,3,Auditory,1,9,3,Low,0
S0120,19,Male,Medium,Postgraduate,Nuclear,No,3.61,Low,4,35,3,No,65,9,43,80,15.0,5,3,Auditory,2,7,5,Medium,0
S0121,18,Male,Low,None,Joint,No,3.77,Medium,3,100,7,No,62,9,52,72,15.0,27,2,Auditory,1,7,3,Medium,0
S0122,20,Male,Medium,Graduate,Single Parent,No,3.56,Low,3,36,6,No,70,10,92,41,17.4,5,7,Mixed,2,4,5,Medium,0
S0123,18,Male,Medium,Graduate,Nuclear,No,3.58,Low,2,90,3,Yes,41,0,73,98,17.0,9,10,Visual,3,1,4,Medium,0
S0124,18,Female,Medium,Secondary,Nuclear,No,3.32,Medium,4,114,4,Yes,40,2,31,34,8.7,18,10,Auditory,5,6,0,Low,0
S0125,20,Female,Low,Postgraduate,Joint,No,2.95,High,2,57,5,No,40,1,57,32,10.1,9,6,Kinesthetic,3,9,0,Low,0
S0126,25,Female,Low,Graduate,Nuclear,No,2.38,Low,5,93,4,No,73,3,95,44,1.0,12,8,Visual,2,4,5,Medium,0
S0127,22,Male,Low,None,Nuclear,No,2.02,Low,3,44,5,Yes,78,0,47,48,2.1,6,2,Auditory,1,3,3,Low,0
S0128,22,Female,Low,Postgraduate,Nuclear,No,2.79,Medium,1,117,4,No,49,6,90,62,2.2,8,1,Auditory,3,2,2,Low,1
S0129,18,Male,Medium,Graduate,Joint,No,2.51,Medium,3,32,7,No,67,7,77,79,15.7,21,1,Visual,2,3,5,Medium,0
S0130,25,Other,Medium,Graduate,Nuclear,No,1.52,Medium,4,89,7,No,73,8,30,77,4.7,25,10,Mixed,4,9,4,Medium,0
S0131,21,Female,High,Graduate,Nuclear,Yes,2.14,Medium,4,27,7,No,57,4,69,63,5.9,6,5,Visual,4,10,1,Low,0
S0132,17,Male,Medium,Postgraduate,Nuclear,Yes,3.24,High,5,85,7,No,55,0,68,50,18.7,7,4,Mixed,2,8,1,Medium,0
S0133,23,Male,Low,Postgraduate,Nuclear,No,3.66,Medium,0,93,3,No,78,7,80,62,9.4,8,1,Auditory,1,9,4,Medium,0
S0134,19,Male,Low,Postgraduate,Single Parent,No,2.46,Medium,2,40,4,No,66,0,42,85,14.9,24,2,Visual,5,1,0,Medium,0
S0135,18,Male,Medium,Graduate,Nuclear,Yes,3.24,High,1,97,3,No,63,4,47,71,8.4,10,10,Auditory,1,2,1,Low,0
S0136,19,Other,Low,Graduate,Joint,Yes,3.49,High,5,90,6,No,67,3,53,45,13.2,12,3,Kinesthetic,5,5,4,Medium,0
S0137,22,Male,Medium,Graduate,Nuclear,Yes,2.73,Medium,1,78,4,No,84,7,52,83,9.7,28,3,Mixed,3,9,1,Low,0
S0138,20,Male,Medium,Primary,Single Parent,Yes,3.1,High,3,26,3,No,83,1,82,42,18.9,12,2,Auditory,4,0,5,Low,0
S0139,20,Male,Low,Secondary,Nuclear,Yes,3.84,Medium,4,20,5,Yes,70,9,64,42,19.6,22,6,Mixed,5,9,4,Medium,0
S0140,21,Female,Low,Primary,Nuclear,Yes,2.18,Low,4,109,6,No,72,7,60,96,19.3,18,9,Auditory,1,3,5,Low,0
S0141,24,Male,High,Graduate,Nuclear,No,3.66,Low,5,48,5,No,92,0,64,75,10.2,26,1,Mixed,2,2,5,Low,0
S0142,22,Male,Medium,Secondary,Nuclear,No,1.55,Medium,4,58,3,Yes,89,9,48,84,5.7,15,8,Mixed,3,6,0,Medium,0
S0143,17,Female,Medium,Graduate,Joint,Yes,1.69,Medium,0,111,6,No,99,2,59,99,17.7,23,9,Auditory,3,2,5,High,1
S0144,21,Male,Medium,Primary,Joint,Yes,2.87,Medium,0,43,6,Yes,66,3,94,67,8.2,24,1,Mixed,5,1,1,High,0
S0145,23,Female,Low,Graduate,Joint,Yes,3.26,Medium,4,38,5,No,97,9,68,48,11.4,26,3,Auditory,3,9,3,Medium,0
S0146,19,Male,Medium,Primary,Nuclear,No,3.94,Medium,4,39,5,Yes,96,4,93,75,17.4,20,9,Auditory,2,2,0,Low,0
S0147,20,Male,Low,Graduate,Nuclear,No,1.57,High,2,67,6,No,64,5,32,97,14.7,15,1,Auditory,3,0,1,High,1
S0148,20,Other,Medium,Primary,Nuclear,No,2.44,Low,1,118,5,No,87,9,47,36,19.7,10,7,Mixed,1,8,5,Low,0
S0149,21,Other,Low,Secondary,Nuclear,No,2.82,High,2,47,5,Yes,77,5,37,76,16.2,20,4,Kinesthetic,4,1,0,Low,0
S0150,21,Male,Low,Graduate,Nuclear,No,1.73,Medium,0,116,4,No,48,4,87,73,9.5,11,9,Auditory,1,7,4,Medium,1
S0151,25,Male,High,Primary,Nuclear,Yes,2.92,High,0,70,5,Yes,86,3,44,43,2.0,6,3,Auditory,1,3,4,Medium,0
S0152,20,Male,High,Primary,Nuclear,Yes,2.55,Medium,4,68,6,No,53,10,48,64,12.2,28,1,Kinesthetic,3,10,4,Medium,1
S0153,20,Female,Medium,Primary,Nuclear,No,3.34,Medium,0,116,3,Yes,91,4,39,39,18.8,6,2,Kinesthetic,5,3,5,Medium,0
S0154,17,Male,Medium,Graduate,Nuclear,No,1.69,Medium,3,40,6,No,70,10,32,58,9.6,29,10,Auditory,4,7,3,High,1
S0155,25,Male,Low,Graduate,Nuclear,No,2.02,High,0,75,4,No,76,4,69,70,14.9,7,2,Auditory,4,2,2,Low,0
S0156,20,Male,Low,Primary,Single Parent,No,2.37,Medium,0,97,6,No,59,3,76,27,13.6,2,5,Kinesthetic,2,7,5,Medium,0
S0157,23,Female,High,Graduate,Joint,No,2.34,Medium,2,75,7,Yes,83,7,54,39,10.9,24,9,Mixed,3,8,2,Medium,0
S0158,22,Male,Low,Secondary,Nuclear,Yes,3.35,Medium,4,104,5,Yes,61,10,71,37,3.8,27,3,Visual,3,6,5,Medium,0
S0159,22,Male,Medium,Secondary,Single Parent,No,2.38,High,5,93,7,No,69,1,43,81,14.2,8,9,Mixed,5,1,1,Medium,0
S0160,20,Male,Medium,Graduate,Nuclear,No,3.13,Low,0,106,6,No,87,3,62,48,2.4,19,6,Mixed,2,7,3,High,0
S0161,24,Male,Low,Secondary,Nuclear,No,2.0,Medium,0,105,4,No,99,8,87,91,9.8,6,1,Mixed,2,5,0,Medium,0
S0162,22,Male,Medium,Postgraduate,Nuclear,No,3.46,High,2,113,4,No,58,0,59,74,12.5,21,10,Auditory,5,6,3,Medium,0
S0163,18,Female,Medium,Primary,Joint,No,1.62,Low,1,112,4,No,97,10,89,58,10.4,19,4,Mixed,1,0,1,High,1
S0164,22,Female,High,Postgraduate,Nuclear,No,3.65,Low,1,24,5,No,69,3,49,80,13.4,11,2,Mixed,2,1,4,High,0
S0165,22,Female,Medium,Secondary,Nuclear,No,1.82,Medium,4,72,6,Yes,45,3,87,23,1.2,24,8,Visual,1,4,2,Medium,1
S0166,18,Male,Medium,Postgraduate,Nuclear,Yes,2.71,Low,2,23,3,No,76,8,48,77,11.6,3,2,Auditory,1,5,4,Medium,0
S0167,24,Male,High,Postgraduate,Guardian,No,3.36,Low,1,71,6,No,83,10,43,77,5.4,29,9,Visual,1,1,4,Medium,0
S0168,24,Male,Medium,Secondary,Single Parent,Yes,2.58,High,2,90,6,No,65,3,95,87,8.5,12,4,Visual,4,8,5,Medium,0
S0169,23,Female,Medium,Secondary,Nuclear,No,1.66,High,3,107,3,No,95,4,43,32,3.7,20,10,Mixed,4,0,2,High,1
S0170,20,Female,Medium,Primary,Single Parent,No,2.54,High,4,33,6,No,40,4,78,77,15.6,10,8,Kinesthetic,5,5,0,Medium,0
S0171,19,Male,Low,Primary,Nuclear,No,3.98,Low,2,25,4,No,88,8,97,92,6.0,28,4,Auditory,3,2,2,Medium,0
S0172,24,Female,Medium,Primary,Joint,Yes,1.69,Medium,1,87,6,Yes,50,1,98,39,10.8,16,5,Mixed,3,6,3,Low,1
S0173,18,Female,Low,Graduate,Nuclear,No,2.31,Medium,0,104,3,No,54,9,36,72,13.9,29,8,Auditory,3,5,1,Medium,0
S0174,25,Female,High,Secondary,Joint,No,3.37,Low,1,34,6,Yes,89,1,94,53,1.8,13,3,Auditory,4,6,4,High,0
S0175,19,Other,High,Primary,Nuclear,No,1.6,Medium,5,76,7,No,89,7,47,98,9.3,13,8,Visual,1,0,3,Medium,0
S0176,20,Male,Medium,Secondary,Nuclear,No,2.03,Medium,1,20,6,No,74,4,77,55,8.3,27,2,Visual,5,2,5,Medium,0
S0177,23,Female,Low,Postgraduate,Nuclear,No,2.6,Low,0,29,7,No,73,7,58,77,2.9,11,3,Mixed,5,8,3,Medium,0
S0178,17,Female,Medium,Primary,Nuclear,No,1.96,Medium,5,55,5,No,85,6,91,100,15.8,21,1,Visual,3,4,1,High,1
S0179,21,Female,Medium,Graduate,Single Parent,No,3.03,Low,3,80,6,Yes,84,1,84,23,17.1,20,5,Mixed,2,3,0,High,0
S0180,18,Female,Low,Graduate,Nuclear,Yes,2.05,Medium,2,101,7,No,70,5,33,85,19.9,29,9,Mixed,1,7,5,Medium,0
S0181,25,Female,Medium,Secondary,Guardian,Yes,1.96,Medium,3,56,5,No,87,0,57,84,11.9,10,10,Visual,4,7,5,Low,0
S0182,25,Female,Medium,Graduate,Nuclear,No,3.29,Low,4,118,3,No,80,5,38,81,18.4,18,3,Auditory,5,3,5,Low,0
S0183,21,Male,Medium,Graduate,Nuclear,Yes,3.43,High,3,26,3,No,62,3,46,21,10.0,29,1,Visual,1,1,3,Medium,0
S0184,22,Male,High,Secondary,Nuclear,No,3.37,Medium,3,106,5,No,46,4,76,32,17.1,18,8,Mixed,1,9,2,Medium,0
S0185,25,Female,Medium,Graduate,Nuclear,No,3.79,Low,0,99,3,Yes,69,6,52,52,16.9,8,1,Kinesthetic,5,5,1,Medium,0
